Receiving.Shot,Best.Shot,Frequency,Probability
b1,v1,203,0.945812808
z1,f3,189,0.931216931
m2,o3,180,0.95
f+1,f1,172,0.947674419
v1,f3,159,0.937106918
b2,v1,133,0.932330827
f3,z3,127,0.94488189
m3,o1,102,0.960784314
s3,z1,97,0.855670103
l2,o3,91,0.956043956
z2,f1,83,0.746987952
s2,v1,80,0.9375
b3,z3,73,0.917808219
f1,r2,71,0.915492958
z3,f1,70,0.885714286
s+3,b1,62,0.790322581
s1,v1,59,0.898305085
f+3,s3,57,0.964912281
f2,z3,56,0.946428571
v2,b3,56,0.714285714
v3,f1,55,0.854545455
m1,o3,54,0.944444444
l3,z3,15,1
b+3,s2,11,1
j1,l3,4,1
m-2,p1,4,1
f-3,z3,3,1
b-2,v1,2,1
b+;3,b1,2,0.5
b+2,b1,2,1
h^2,f-3,2,1
h2,f-1,2,1
o=1,r2,2,1
p1,f1,2,1
p2,f1,2,1
r-1,l3,2,1
r+2,f3,2,1
r2,u-3,2,1
r3,f+;1,2,1
s-1,s-1,2,1
s+;3,s1,2,1
s+1,l2,2,1
u1,r-3,2,1
u3,r1,2,1
v^1,f2,2,1
v^2,f-1,2,1
y+;3,y-3,2,1
y3,f3,2,1
z;3,b1,2,1
b-;1,m2,1,1
b-1,v1,1,1
b-3,b1,1,1
b;-3,b3,1,1
b;+1,f3,1,1
b;1,s+2,1,1
b;2,f1,1,1
b;3,s+2,1,1
b+;1,f1,1,0
b+;2,b1,1,0
b+1,r2,1,1
f-;2,m3,1,1
f-;3,m3,1,1
f-+1,s1,1,1
f-1,r2,1,1
f-2,v1,1,1
f;+1,m3,1,1
f;+3,f1,1,1
f;1,f+3,1,1
f;2,f-1,1,1
f;3,z;2,1,1
f+;1,f3,1,1
f+;2,f+3,1,1
f+;3,f3,1,1
f+2,m2,1,1
f=1,f3,1,1
f=2,v1,1,1
f=3,z1,1,1
h-1,f3,1,1
h-3,z3,1,1
h;3,b1,1,1
h^3,r-3,1,1
h+1,f1,1,1
h+3,f1,1,1
h=1,f+1,1,1
h=2,f1,1,1
h1,f2,1,1
h3,f-1,1,1
i-1,f-1,1,1
i-2,v1,1,1
i;1,l2,1,1
i;2,f1,1,0
i^1,f-3,1,1
i^2,f3,1,0
i^3,f-3,1,1
i+2,f-1,1,1
i+3,b3,1,1
i=1,f-1,1,1
i=2,o3,1,1
i=3,b3,1,1
i1,s-3,1,1
i2,z1,1,1
i3,v+3,1,1
j-1,f3,1,1
j-3,f1,1,0
j+=1,f3,1,1
j+1,h3,1,1
j+2,m3,1,1
j+3,l3,1,1
j=+1,f1,1,1
j=+3,f2,1,1
j=1,f1,1,1
j=3,b3,1,1
j2,b3,1,1
j3,b3,1,1
k+1,v1,1,1
k+3,b1,1,1
k=+1,f1,1,1
k=1,v2,1,1
k=3,z3,1,1
k1,f2,1,1
k2,z1,1,1
k3,f1,1,1
l-2,o3,1,1
l-3,m2,1,1
l+1,o3,1,1
l+2,b3,1,1
l+3,o1,1,1
l=1,o3,1,1
l1,o=2,1,1
m-1,t3,1,1
m-3,z2,1,1
m+1,b3,1,1
m+2,b3,1,1
m+3,b3,1,1
o-1,f2,1,1
o+1,f2,1,1
o=+1,s3,1,1
o=+2,s2,1,1
o=2,f2,1,1
o=3,b1,1,1
o1,r1,1,1
o2,f3,1,1
o3,b2,1,1
p;1,r1,1,1
p=1,v^1,1,1
p=3,s2,1,1
p3,f1,1,1
r-2,f3,1,1
r-3,b-1,1,1
r;-3,s-3,1,1
r;1,s3,1,1
r;3,b2,1,1
r+1,m2,1,1
r+3,s3,1,1
r1,r2,1,1
s-;1,l3,1,1
s-;3,s-2,1,1
s-+1,b3,1,1
s-+2,l3,1,1
s-+3,v3,1,1
s-2,o2,1,1
s-3,z2,1,1
s;1,z1,1,1
s;2,r2,1,1
s;3,s-3,1,1
s+2,f2,1,1
s=+3,f1,1,1
t-1,f-2,1,1
t=2,z1,1,1
t1,f2,1,1
t2,h^2,1,1
t3,o1,1,1
u-1,u-;1,1,1
u-2,b-3,1,1
u-3,b-3,1,1
u;+3,s2,1,1
u+1,r1,1,1
u+2,b-3,1,1
u+3,m3,1,1
u2,u-1,1,1
v-1,h3,1,1
v;1,f3,1,1
v;2,f-1,1,1
v;3,f3,1,1
v^3,s-1,1,1
v+1,b3,1,1
v+3,z1,1,1
v=+1,f3,1,1
v=+3,b1,1,1
v=1,v1,1,1
v=2,o3,1,1
v=3,p3,1,1
y-1,f1,1,1
y-3,s-1,1,1
y^2,f-3,1,0
y^3,s-2,1,0
y+1,r-3,1,1
y+2,f1,1,1
y+3,f1,1,1
y1,u2,1,1
y2,s-1,1,1
z-3,z2,1,0
z;1,f;1,1,1
z;2,f3,1,1
z^+1,f-1,1,1
z^1,b1,1,1
z^2,f1,1,1
z^3,f1,1,1
z+1,f3,1,1
z+2,f3,1,1
z+3,b1,1,1
z=+1,l3,1,1
z=+3,l1,1,1
z=1,b3,1,1
z=2,o-1,1,1